SECTION,ENDPOINT,FIELD,TYPE,EXAMPLE,MAPS_TO_DB,DB_COLUMN,NOTES
top_scorers,/players/topscorers?league=39&season=2024,statistics[0].goals.assists,int,18,no,,Not stored

=== TODAY'S GAMES SAMPLE (2026-04-03) ===,,,,,,,
today,/fixtures?date=2026-04-03,Total games today,int,666,no,,Pro plan gives all leagues globally
today,/fixtures?date=2026-04-03,fixture.id,int,1526489,yes,games.api_fixture_id,
today,/fixtures?date=2026-04-03,league.name,string,Serie A,no,,League name (not stored)
today,/fixtures?date=2026-04-03,league.country,string,Brazil,no,,Country (not stored)
today,/fixtures?date=2026-04-03,fixture.status.short,string,FT / NS / 1H / 2H / HT,yes,,FT=done NS=upcoming 1H/2H=live HT=halftime
today,/fixtures?date=2026-04-03,teams.home.name,string,RB Bragantino,yes,games.team_home,
today,/fixtures?date=2026-04-03,goals.home,int|null,3,partial,,Live score during match
today,/fixtures?date=2026-04-03,goals.away,int|null,0,partial,,Live score during match

=== STATUS CODES ===,,,,,,,
status_codes,all fixtures,NS,string,,no,,Not Started (upcoming)
status_codes,all fixtures,1H,string,,no,,First Half (live)
status_codes,all fixtures,HT,string,,no,,Half Time (live)
status_codes,all fixtures,2H,string,,no,,Second Half (live)
status_codes,all fixtures,FT,string,,no,,Full Time (finished — 90min)
status_codes,all fixtures,ET,string,,no,,Extra Time in progress
status_codes,all fixtures,BT,string,,no,,Break Time (between ET halves)
status_codes,all fixtures,P,string,,no,,Penalties in progress
status_codes,all fixtures,AET,string,,no,,After Extra Time (finished — no pens)
status_codes,all fixtures,PEN,string,,no,,After Penalties (finished)
status_codes,all fixtures,PST,string,,no,,Postponed
status_codes,all fixtures,CANC,string,,no,,Cancelled
status_codes,all fixtures,ABD,string,,no,,Abandoned

=== API LIMITS (Pro Plan) ===,,,,,,,
limits,account,daily_requests,int,7500,no,,Per day — resets at midnight UTC
limits,account,plan_expiry,date,2026-10-01,no,,Covers WC2026 (ends ~Jul 19 2026)
limits,per_sync_call,calls_per_game,int,3,no,,"1x /fixtures + 1x /statistics + 1x /players"
limits,per_sync_call,max_games_per_day,int,2500,no,,7500 / 3 = ~2500 game syncs per day (more than enough for 104 games)

=== WHAT WE CANNOT PULL ===,,,,,,,
not_available,WC2026,fixtures,n/a,,no,,WC2026 fixtures not in API yet — run setup mode when available
not_available,odds,soccer_fifa_world_cup,n/a,,no,,Odds sport key not active yet — betting not open
not_available,WC2026,top_scorers,n/a,,no,,Tournament stats won't exist until tournament starts
